               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.1868,               2.433,              1.4966,             0.34618,             0.66902,             0.54677,             0.36811,              1.2173,              1.4252,              1.4457,            0.070139,           0.0033179,           0.0033179
                   1,              1.0422,              1.3083,              1.3612,             0.64336,             0.72865,             0.75692,             0.53514,               1.096,              1.3106,              1.3772,            0.039876,           0.0063878,           0.0063878
                   2,              1.0742,              1.2371,              1.3626,             0.70618,             0.67272,             0.71317,             0.52589,              1.0248,              1.5136,              1.3167,           0.0093481,           0.0091938,           0.0091938
                   3,              1.1122,              1.2404,              1.3709,             0.69087,             0.72377,             0.74283,             0.48776,              1.2025,              1.3488,              1.5292,            0.008812,            0.008812,            0.008812
                   4,              1.1164,              1.1855,               1.384,             0.77192,             0.79878,             0.85098,             0.57428,              1.0812,             0.97135,              1.4151,            0.008812,            0.008812,            0.008812
                   5,              1.0669,              1.0897,              1.3364,               0.694,             0.82139,              0.8462,             0.60576,              1.1083,             0.93678,              1.3787,            0.008416,            0.008416,            0.008416
                   6,              1.0247,              1.0061,              1.3123,             0.72781,             0.88572,             0.90625,             0.66836,             0.96762,              0.7739,              1.2746,             0.00802,             0.00802,             0.00802
                   7,             0.98586,              0.9122,              1.2783,             0.91977,             0.78912,             0.88288,             0.65789,             0.93043,             0.70494,              1.2484,            0.007624,            0.007624,            0.007624
                   8,             0.96554,             0.88879,              1.2723,             0.91058,             0.83082,             0.93858,             0.74642,             0.82124,             0.68154,              1.1646,            0.007228,            0.007228,            0.007228
                   9,             0.95816,             0.87468,              1.2631,              0.8491,              0.9535,             0.95351,             0.75308,             0.78907,             0.55699,              1.1405,            0.006832,            0.006832,            0.006832
                  10,             0.81006,             0.61112,              1.2738,             0.92522,             0.89754,             0.96534,             0.82708,             0.64749,             0.52463,              1.0557,            0.006436,            0.006436,            0.006436
                  11,             0.77761,             0.56957,              1.2438,             0.81616,              0.9166,             0.94055,             0.78871,               0.686,             0.60086,              1.0836,             0.00604,             0.00604,             0.00604
                  12,             0.75339,             0.53914,              1.2321,             0.88119,             0.89037,             0.94484,             0.75766,             0.81067,              0.6066,              1.1174,            0.005644,            0.005644,            0.005644
                  13,             0.74066,             0.51474,              1.2062,             0.94671,             0.94255,             0.96347,             0.82738,             0.68498,             0.45306,              1.0842,            0.005248,            0.005248,            0.005248
                  14,             0.72329,              0.4927,              1.2026,             0.98493,              0.9921,             0.98955,             0.84328,             0.67739,             0.40432,              1.0638,            0.004852,            0.004852,            0.004852
                  15,             0.70451,             0.45824,              1.1843,             0.97034,             0.90976,              0.9814,             0.86118,             0.59363,             0.46521,              1.0341,            0.004456,            0.004456,            0.004456
                  16,             0.68108,             0.43514,              1.1685,             0.86835,             0.94722,             0.95455,             0.84005,             0.58965,             0.42612,              1.0164,             0.00406,             0.00406,             0.00406
